"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"Rrp1",4431.00399656834,0.141201234577657,0.172706376093526,0.817579742980606,0.41359719832968,0.951726607740148,"No","NotSig"
"Fcho1",790.662415429974,0.187882239158305,0.229966855257635,0.816997036150351,0.413930121812619,0.951952045159158,"No","NotSig"
"Atp6ap1",5379.55693062678,0.148278256119045,0.18174500569648,0.815858766246783,0.414580917748553,0.95221889327296,"No","NotSig"
"D8Ertd738e",4660.13020331877,0.162412871178348,0.19900726810669,0.816115274198313,0.414434208767751,0.95221889327296,"No","NotSig"
"Ippk",139.725394595235,-0.366070005759621,0.448640951418113,-0.815953168346551,0.414526921169715,0.95221889327296,"No","NotSig"
"Ociad2",15.3606133037933,-0.812235300040419,0.995654129033819,-0.815780577165497,0.414625643873929,0.95221889327296,"No","NotSig"
"Zfp583",33.4150821140927,-0.553867430882682,0.678944932116667,-0.815776662705109,0.414627883118932,0.95221889327296,"No","NotSig"
"Birc3",4904.14114845739,-0.1628438185442,0.199606704691524,-0.815823390280709,0.414601153339456,0.95221889327296,"No","NotSig"
"Ifi205",14166.1563149311,0.148153344183414,0.181491124487598,0.816311787155951,0.414321834524987,0.95221889327296,"No","NotSig"
"H3f3a",75436.9179911934,-0.175436167563684,0.215026206196199,-0.815882727352818,0.414567211963045,0.95221889327296,"No","NotSig"
"Ticam2",258.633178405329,-0.244051280443327,0.299245441457569,-0.815555549500096,0.414754381291075,0.952342385237002,"No","NotSig"
"Zfp40",104.001173344404,-0.384878500904937,0.472434224479527,-0.814671082157417,0.415260610408848,0.952389898489062,"No","NotSig"
"Yju2",447.384464524169,-0.194950039412321,0.240001554248131,-0.812286570489321,0.416627214666456,0.952389898489062,"No","NotSig"
"Bax",4651.49562625384,0.148498271964908,0.1829278691605,0.811785938612865,0.416914471945804,0.952389898489062,"No","NotSig"
"Sqor",115.81626785799,0.383608656059341,0.472422715100706,0.812002987573465,0.416789917206792,0.952389898489062,"No","NotSig"
"Ctnnb1",3484.85326815924,0.153004208961762,0.187695131523284,0.815174094927344,0.414972663883085,0.952389898489062,"No","NotSig"
"Aldh1a2",243.196584042921,0.270213992581504,0.332339623112849,0.813065833229733,0.416180314332895,0.952389898489062,"No","NotSig"
"Psmb1",13826.2845197024,-0.153469285884717,0.188936365791374,-0.812280289408022,0.416630817961112,0.952389898489062,"No","NotSig"
"Tsen15",501.729500136624,0.199523969658578,0.245219300257222,0.813655244302906,0.415842480276752,0.952389898489062,"No","NotSig"
"Pdzd11",1402.1513567234,-0.167494350375615,0.206741620403082,-0.81016270477639,0.417846669321144,0.952389898489062,"No","NotSig"
"G3bp1",7310.7214494146,0.134376360469624,0.165465038941132,0.812113310035429,0.416726616469385,0.952389898489062,"No","NotSig"
"Anapc16",1303.54470721739,-0.172423569797885,0.212206906076586,-0.8125257230585,0.416490032669945,0.952389898489062,"No","NotSig"
"Kremen1",67.3347910987187,0.410141453450901,0.506404271377053,0.809909150915361,0.41799239206684,0.952389898489062,"No","NotSig"
"Angpt1",96.8970663037695,0.377351720971887,0.465283633499189,0.811014387361951,0.417357408537729,0.952389898489062,"No","NotSig"
