gene_id	a160	a163	a169	a172
Sf3a1	926	833	910	1936
Stat6	2432	2052	2339	4124
Napsa	15476	13998	13425	18651
Vrk3	1803	1445	1592	2595
Smg9	372	297	302	452
Paxip1	299	269	316	389
Rmnd5a	532	567	610	1007
Mov10	140	94	148	247
Ppm1j	51	27	138	61
Rhoc	130	57	172	155
Tead3	3	9	10	18
Ppard	26	25	18	41
1810013A23Rik	26	25	18	41
Def6	356	317	301	479
Zim1	12	9	7	10
Metrn	185	209	219	274
Lmf1	459	403	466	647
Ciao3	847	616	748	1095
Angptl4	135	158	293	619
Dbf4	409	522	472	601
Daxx	787	652	755	1290
Cd320	180	156	187	200
Ipo4	275	289	299	642
Tm9sf1	1360	1118	1316	1930
Rec8	12	16	23	52
Irf9	2597	2068	2117	3508
Gmpr2	2928	2578	2588	3859
Mdp1	1640	1467	1510	1903
Dhrs1	2554	2232	2688	3881
Ncan	69	72	79	45
Tmem161a	449	390	404	733
Armc6	159	116	129	270
Borcs8	1774	1401	1812	1936
Slc25a42	63	34	90	74
Snx9	1398	1321	1267	2059
Ranbp3	1820	1732	1673	3168
Ndufa11	3078	2452	4670	3840
Bmp8b	20	22	3	32
Nr2f6	236	240	333	663
Use1	1620	1428	1832	2131
Ocel1	851	509	703	754
Dyrk1b	191	138	162	361
Braf	300	294	339	660
Ndufb2	3117	2623	4033	3872
Hltf	1253	1111	941	1447
Prpf6	716	769	839	1341
Rgs19	3770	2937	3329	5076
Rgs20	0	6	9	3
Abhd3	15	16	14	4
Snrpd1	3545	3318	4462	3941
Tchp	125	125	125	100
Tiam1	265	224	415	414
Tsc2	290	294	292	637
Rpl3l	20	6	9	14
Slc9a3r2	253	237	273	415
Puf60	4711	3954	4344	6403
Golga2	279	269	256	618
Uck1	766	812	766	1341
Scin	331	226	349	290
Ikzf4	27	13	4	9
Mien1	2564	2164	2786	2994
Pon1	0	3	0	6
Axl	94	20	54	64
Tgfb1	1272	1318	2246	3376
Ccdc97	734	666	546	1114
Zfp40	134	77	58	163
Akap8l	1467	1233	1176	1946
Pdcd2l	1440	1262	1794	1871
Gtf2f1	1638	1365	1651	2200
Clpp	1358	1142	1546	2020
Alkbh7	568	499	863	919
Pspn	2	1	1	1
Dennd1c	1412	1312	1197	1779
Med6	650	465	631	825
Lcp2	2764	2599	2350	4132
Cse1l	1146	909	1196	1846
Naa20	2008	1792	2390	2892
Prkra	1451	1294	1845	2573
Fkbp7	118	86	138	149
Plekha3	842	751	1052	1389
Ykt6	847	857	1053	1575
Baz1b	910	881	722	1144
Pex6	355	397	430	873
Mrpl2	1361	1171	1611	1854
Mea1	2415	2255	3077	3508
Gnmt	14	18	15	34
Grin2d	7	16	14	4
Kdelr1	859	730	929	1371
Tmem143	93	63	117	113
Pdxk-ps	0	1	7	2
Ggct	419	418	352	435
Jag2	137	151	200	350
Btbd6	141	152	190	334
Nudt14	2942	2566	2907	2820
Epdr1	16	29	49	66
Flii	1346	1177	1322	2130
Top3a	132	87	111	150
Atg4d	420	359	489	888
Qtrt1	407	479	432	610
Hdgfl2	937	778	927	1270
Chaf1a	188	171	177	321
Adprh	2012	1685	1728	2572
Tmem39a	4064	2472	3482	4581
Timmdc1	143	224	183	170
Pla1a	51	43	68	36
Mcm2	811	822	1031	1493
Tpra1	674	804	837	1719
Nab1	1660	1674	1589	2697
Adgre5	8793	8440	9437	15531
Il17ra	974	946	892	1599
Lamb1	23	27	31	42
Kcnn1	24	16	7	52
Arrdc2	236	152	139	225
Ppp1r17	3	7	0	1
Cd36	11178	10324	17351	25788
Map2k7	411	399	451	767
Timm44	735	608	748	1171
Ap2a2	947	779	893	1635
Pnkp	930	807	940	1532
Med25	442	430	496	1013
Bcam	12	7	8	0
Clptm1	2750	2115	2575	5177
Relb	5119	2885	3357	5821
Tomm40	1358	1197	1672	2656
Apoe	4372	3281	9358	11213
Apoc2	8	1	2	10
Hbp1	3067	2582	2915	4152
Prkar2b	775	791	1022	1725
Cdkn1b	497	487	541	513
Klf4	187	222	279	388
Ap1m1	3372	2748	3305	5253
Rab8a	6782	5304	6789	9956
Hmgn2	7739	6405	10350	11813
Fam32a	9537	5547	7845	8870
Stard3nl	4508	3779	5625	7558
Stk11	308	298	416	751
Efna2	168	77	123	210
Atp5d	6365	5974	7413	8380
Ppp5c	1427	1166	1409	2427
Cdk12	469	401	361	537
Lipe	600	465	660	1372
Pafah1b2	1118	1025	1033	1970
Tbc1d8	4331	3309	4777	8231
Cnot11	686	571	631	1130
Slc2a3	275	360	217	385
Foxj2	278	259	267	501
Sri	14726	11801	12897	16028
Dgcr2	608	614	565	995
Irf3	1738	1444	1603	2207
Bcl2l12	417	340	370	565
Zfp959	479	421	547	696
Mpnd	3302	2730	3094	4064
Sh3gl1	2000	1569	1824	3379
Ebi3	1601	1225	1358	1913
Yju2	439	403	405	562
Ranbp2	1230	1143	1194	1663
Grk5	137	67	122	150
Dvl3	252	207	278	406
Abcf3	648	529	628	1117
Eif2b5	886	827	815	1666
Cyth2	840	876	990	1520
Sult2b1	81	38	85	77
Gm5897	81	38	85	77
Car11	5	1	12	4
Dlgap1	24	59	39	41
Plag1	2	17	10	6
Hck	7403	6452	6753	10100
Mrpl4	2487	2475	2994	3761
Keap1	991	860	980	1309
Ap1m2	12	9	5	2
Glg1	1353	1122	1156	1977
Btbd2	342	318	414	653
Csnk1g2	1453	1168	1442	2532
Abhd17a	3474	3161	4211	7025
Mob3a	6587	4923	5267	8413
Cacnb3	3510	1080	1900	3108
Fkbp11	39	34	57	72
Ddx23	528	490	364	454
Pld3	140	104	133	188
Grik5	10	8	12	18
Cd79a	1571	914	746	879
Rabac1	3291	3042	3640	4266
Etv3	3964	3289	3602	5340
Prkcsh	1176	1243	1506	2255
Elavl3	3	9	7	10
Rab3b	3	5	2	0
St8sia6	406	309	315	369
Fcgrt	3780	3301	4813	7470
Nosip	1378	1009	1068	1963
Pih1d1	1041	1130	1345	1665
Rps11	44326	35975	49357	42195
Supt5	1854	1659	1742	2840
Dll3	3	17	10	12
Paf1	1427	1212	1513	2028
Timm50	1463	1319	1916	2292
